tid,seq_ratio,avg_stride
10831,0.738,18.8
10841,0.946,18904.2
10841,0.994,8.4
10841,0.993,8.4
10831,0.728,25.1
10831,0.703,16.3
10831,0.727,20.3
10841,0.977,17883.4
10831,0.726,28.8
10841,0.977,42.1
10831,0.735,16.8
10841,0.986,6.9
10831,0.714,17.9
10841,0.985,4.6
10831,0.722,23.6
10841,0.986,5.0
10841,0.965,34629.0
10831,0.729,16.1
10841,0.991,5.3
10831,0.721,18.0
10841,0.989,5.2
10841,0.988,4.7
10831,0.703,19.5
10841,0.985,6.7
10841,0.993,8.6
10841,0.991,10.3
10831,0.716,21.5
10841,0.977,26748.0
10831,0.724,14.1
10841,0.992,2645.0
10831,0.710,19.8
10841,0.975,22.6
10841,0.989,4.4
10831,0.719,24.5
10841,0.982,21.8
10831,0.760,18.1
10841,0.982,17294.0
10841,0.996,8.9
10841,0.984,74.8
10831,0.733,21.4
10841,0.983,5.1
10831,0.715,25.4
10841,0.984,5.3
10841,0.987,5.1
10831,0.719,17.5
10841,0.982,26.9
10841,0.988,9.3
10841,0.993,8.7
10841,0.996,8.3
10841,0.995,9.0
10841,0.995,8.2
10831,0.728,16.8
10841,0.960,69838.6
10831,0.724,19.2
10841,0.983,23.5
10831,0.732,16.4
10841,0.979,6.3
10841,0.988,4.8
10831,0.713,21.1
10841,0.981,7.3
10831,0.732,12.9
10841,0.984,9.1
10831,0.730,18.9
10841,0.990,5.1
10831,0.727,17.6
10841,0.987,6.6
10831,0.716,20.7
10841,0.986,5.3
10841,0.987,5.0
10831,0.720,19.8
10841,0.985,8416.6
10841,0.994,8.5
10841,0.980,34090.3
10831,0.707,21.4
10841,0.986,6.5
10841,0.987,5.2
10831,0.728,17.6
10841,0.986,6.6
10831,0.710,17.8
10841,0.981,4.4
10841,0.984,7.9
10841,0.995,8.3
10841,0.995,8.6
10831,0.728,19.0
10841,0.976,42496.0
10831,0.706,22.4
10841,0.987,5.2
10841,0.989,5.3
10831,0.712,18.7
10841,0.988,8.2
10831,0.722,11.9
10841,0.988,24.1
10841,0.975,23.0
10841,0.996,7.7
10841,0.996,8.5
10831,0.772,12.9
10841,0.963,76011.8
10831,0.714,20.3
10841,0.982,4.6
10841,0.970,5.1
10831,0.718,22.7
10841,0.980,4.7
10831,0.710,27.6
10841,0.964,26.3
10841,0.976,13.0
10841,0.995,8.5
10841,0.972,9460.1
10831,0.704,20.4
10841,0.988,23.7
10831,0.705,19.2
10841,0.992,4.8
10831,0.714,28.4
10841,0.988,6.0
10841,0.989,15191.6
10831,0.751,13.4
10841,0.978,37.4
10841,0.982,8.3
10841,0.982,8.5
10831,0.728,15.7
10841,0.921,23952.8
10841,0.985,7.6
10831,0.705,17.3
10841,0.981,5.6
10831,0.705,21.6
10841,0.990,6.2
10841,0.994,4.6
10831,0.708,14.2
10841,0.985,8.4
10841,0.995,8.4
10841,0.983,27.2
10841,0.989,22.1
10831,0.716,18.5
10841,0.986,7.1
10831,0.695,21.7
10841,0.988,4.9
10841,0.978,9443.3
10831,0.713,18.0
10841,0.984,7.5
10841,0.996,8.4
10841,0.988,2139.9
10831,0.711,23.1
10841,0.984,7.9
10841,0.990,5.3
10831,0.711,19.9
10841,0.987,7.1
10831,0.707,21.0
10841,0.991,4.5
10841,0.991,4.5
10841,0.987,9463.1
10841,0.995,8.6
10831,0.706,16.8
10841,0.982,19911.4
10841,0.987,22.2
10831,0.724,24.3
10841,0.990,5.9
10831,0.712,23.2
10841,0.990,4.7
10841,0.982,22.2
10831,0.710,20.1
10841,0.992,9.2
10841,0.995,8.3
10841,0.980,24683.5
10831,0.727,20.9
10841,0.991,4.8
10831,0.712,22.1
10841,0.991,4.4
10831,0.688,22.2
10841,0.981,5.0
10841,0.983,36.9
10831,0.718,25.9
10841,0.983,7.5
10841,0.997,8.1
10831,0.790,21.2
10841,0.976,65527.4
10841,0.981,5.0
10831,0.721,18.8
10841,0.974,4.7
10831,0.706,22.2
10841,0.976,4.7
10841,0.975,20.2
10831,0.729,13.8
10841,0.966,8.1
10841,0.997,8.0
10841,0.994,9.0
10831,0.714,14.7
10841,0.981,23.8
10841,0.986,38.9
10831,0.708,18.0
10841,0.988,5.1
10831,0.745,17.3
10841,0.977,25.5
10841,0.982,8.4
10841,0.984,7.9
10841,0.937,12741.8
10831,0.739,14.9
10841,0.987,4.7
10831,0.712,21.9
10841,0.952,9986.3
10831,0.725,15.0
10841,0.986,6.1
